,index,Region/Country/Area,"Population, density and surface area",Year,Series,Value,Footnotes,Source
133,134,14,Eastern Africa,2021,Sex ratio (males per 100 females),98.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
134,135,14,Eastern Africa,2021,Population aged 0 to 14 years old (percentage),41.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
135,136,14,Eastern Africa,2021,Population aged 60+ years old (percentage),4.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
136,137,14,Eastern Africa,2021,Population density,69.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
137,138,14,Eastern Africa,2021,Surface area (thousand km2),6667,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
138,139,14,Eastern Africa,2022,Population mid-year estimates (millions),473,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
139,140,14,Eastern Africa,2022,Population mid-year estimates for males (millions),234.54,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
140,141,14,Eastern Africa,2022,Population mid-year estimates for females (millions),238.47,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
141,142,14,Eastern Africa,2022,Sex ratio (males per 100 females),98.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
142,143,14,Eastern Africa,2022,Population aged 0 to 14 years old (percentage),41.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
143,144,14,Eastern Africa,2022,Population aged 60+ years old (percentage),4.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
144,145,14,Eastern Africa,2022,Population density,71.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
145,146,17,Middle Africa,2010,Population mid-year estimates (millions),133.61,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
146,147,17,Middle Africa,2010,Population mid-year estimates for males (millions),66.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
147,148,17,Middle Africa,2010,Population mid-year estimates for females (millions),67.29,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
148,149,17,Middle Africa,2010,Sex ratio (males per 100 females),98.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
149,150,17,Middle Africa,2010,Population aged 0 to 14 years old (percentage),45.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
150,151,17,Middle Africa,2010,Population aged 60+ years old (percentage),4.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
151,152,17,Middle Africa,2010,Population density,20.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
152,153,17,Middle Africa,2015,Population mid-year estimates (millions),157.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
153,154,17,Middle Africa,2015,Population mid-year estimates for males (millions),78.22,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
154,155,17,Middle Africa,2015,Population mid-year estimates for females (millions),79.18,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
155,156,17,Middle Africa,2015,Sex ratio (males per 100 females),98.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
156,157,17,Middle Africa,2015,Population aged 0 to 14 years old (percentage),45.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
157,158,17,Middle Africa,2015,Population aged 60+ years old (percentage),4.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
